所在区域,年龄段,办事渠道,办理时长_分钟,服务态度评分,政策清晰度,等待时长满意度,总体满意度,是否满意,是否再次使用,意见建议
华中,18-30岁,政务大厅,8.3,5,4,4,5,满意,是,
西南,46-60岁,政务大厅,4.6,4,3,4,4,满意,是,
华北,31-45岁,社区服务点,3.8,4,4,3,4,满意,是,政策透明度需要提高
西南,18-30岁,电话热线,50.7,4,2,5,4,满意,是,
西南,60岁以上,线上平台,31.2,5,2,4,4,不满意,是,等待时间有点长，希望能改进
华南,31-45岁,线上平台,9.6,4,1,3,3,不满意,否,服务流程简化后体验明显提升
华北,46-60岁,自助终端,,5,2,4,4,满意,否,
华北,60岁以上,政务大厅,19.9,5,4,4,4,满意,是,
华北,46-60岁,线上平台,12.9,4,4,4,4,满意,是,建议多开几个窗口，减少排队时间
西南,31-45岁,线上平台,13.2,5,5,4,5,满意,是,
华中,18-30岁,线上平台,4.3,4,2,4,3,不满意,是,政策信息更新不及时
华北,31-45岁,社区服务点,4.4,4,5,4,5,满意,是,自助终端操作复杂，老年人不太会用
西北,18-30岁,线上平台,16.8,4,5,2,3,不满意,是,总体满意，线上平台很方便
西南,31-45岁,自助终端,15.1,2,4,3,3,不满意,是,办事效率较高，值得肯定
华南,60岁以上,政务大厅,6.6,5,5,2,4,满意,是,政策解释不够清楚，需要反复询问
华中,31-45岁,线上平台,46.8,4,5,4,5,满意,是,
西北,18-30岁,政务大厅,25.8,4,3,3,3,不满意,是,
西北,31-45岁,线上平台,4.8,5,3,5,4,满意,是,
华南,60岁以上,自助终端,43.1,3,5,4,4,不满意,是,办事效率较高，值得肯定
华中,31-45岁,线上平台,57.9,4,4,5,5,满意,是,
西南,46-60岁,线上平台,85.6,4,2,5,4,满意,是,等待时间有点长，希望能改进
华东,18-30岁,自助终端,3.9,5,5,5,5,满意,是,
华中,31-45岁,线上平台,23.0,4,5,5,5,满意,是,建议增加线上预约功能
华南,31-45岁,线上平台,14.8,5,5,3,4,满意,是,
西北,18-30岁,政务大厅,21.4,5,5,4,4,满意,否,
西南,31-45岁,线上平台,54.9,2,5,3,4,满意,是,
华中,31-45岁,社区服务点,20.5,2,3,3,2,不满意,是,
华东,46-60岁,线上平台,30.2,4,3,4,5,满意,是,建议增加线上预约功能
华东,31-45岁,政务大厅,33.2,4,4,4,4,满意,否,
华北,18-30岁,政务大厅,30.3,3,5,3,4,满意,是,
华北,18-30岁,自助终端,11.3,4,3,4,3,不满意,否,总体满意，线上平台很方便
华南,18-30岁,线上平台,6.8,4,4,5,4,满意,是,办事效率较高，值得肯定
华中,31-45岁,线上平台,10.6,4,4,4,5,满意,是,政策解释不够清楚，需要反复询问
华中,31-45岁,电话热线,36.4,4,4,4,4,满意,否,总体满意，线上平台很方便
西北,18-30岁,社区服务点,5.4,4,4,5,5,满意,是,
西北,31-45岁,社区服务点,13.8,4,5,5,5,满意,是,线上平台偶尔卡顿
西北,18-30岁,线上平台,7.0,4,4,4,4,满意,否,
华北,46-60岁,线上平台,16.1,3,4,5,5,满意,是,
华中,46-60岁,线上平台,32.8,4,4,5,5,满意,是,政策透明度需要提高
华中,18-30岁,政务大厅,34.8,4,4,5,4,满意,是,
华东,60岁以上,线上平台,7.1,5,3,2,3,不满意,否,
华北,31-45岁,社区服务点,38.7,4,4,3,2,不满意,是,
西南,60岁以上,线上平台,16.4,5,4,3,4,满意,是,
华北,31-45岁,电话热线,9.5,4,2,2,2,不满意,是,办事效率较高，值得肯定
西南,18-30岁,政务大厅,21.5,3,3,4,5,满意,是,
华东,31-45岁,社区服务点,12.9,5,4,4,4,满意,是,
华南,46-60岁,线上平台,10.1,4,4,5,4,满意,是,
华中,46-60岁,政务大厅,21.3,4,3,2,2,不满意,是,服务态度很好，办理流程顺畅
华东,31-45岁,自助终端,7.3,2,,5,4,满意,是,
华中,31-45岁,线上平台,9.0,4,4,4,4,满意,是,线上平台偶尔卡顿
西北,31-45岁,线上平台,11.5,4,3,4,5,满意,是,
华南,31-45岁,电话热线,7.4,4,5,5,5,满意,是,建议多开几个窗口，减少排队时间
华南,18-30岁,自助终端,10.8,5,4,4,4,满意,是,
华东,31-45岁,线上平台,15.7,3,5,3,4,满意,否,
华南,18-30岁,政务大厅,23.3,4,4,5,5,满意,是,
西南,46-60岁,政务大厅,24.9,3,5,3,3,不满意,是,
华南,31-45岁,自助终端,29.0,2,5,1,3,不满意,是,大厅环境不错，服务人员专业
华中,60岁以上,线上平台,23.5,4,4,5,5,满意,是,服务态度很好，办理流程顺畅
华中,31-45岁,线上平台,20.1,4,5,3,4,满意,是,
华中,46-60岁,线上平台,7.1,4,3,5,4,满意,是,
华中,46-60岁,政务大厅,10.7,3,3,3,3,不满意,否,
西南,18-30岁,自助终端,12.7,4,4,5,4,满意,是,服务流程简化后体验明显提升
华北,31-45岁,线上平台,4.3,1,4,3,3,不满意,是,
西北,46-60岁,电话热线,14.3,5,5,5,4,满意,是,
华东,60岁以上,政务大厅,11.6,2,2,5,3,不满意,否,
华中,31-45岁,线上平台,27.3,4,4,2,3,不满意,否,政策透明度需要提高
华南,18-30岁,线上平台,60.2,5,3,4,4,满意,是,政策解释不够清楚，需要反复询问
华中,46-60岁,线上平台,15.2,4,4,5,4,满意,是,等待时间有点长，希望能改进
华南,46-60岁,电话热线,8.8,5,4,4,4,满意,是,
西北,31-45岁,自助终端,3.7,3,4,3,4,满意,是,等待时间有点长，希望能改进
西北,18-30岁,政务大厅,41.8,5,4,4,4,满意,是,
西北,60岁以上,自助终端,40.7,4,4,4,4,满意,否,
华南,31-45岁,政务大厅,7.4,5,4,4,5,满意,是,
华中,31-45岁,自助终端,20.8,2,5,4,4,满意,是,等待时间有点长，希望能改进
西北,46-60岁,线上平台,4.2,3,1,3,2,不满意,否,服务流程简化后体验明显提升
西南,46-60岁,政务大厅,5.7,3,4,3,4,满意,是,
华南,46-60岁,线上平台,6.7,4,4,4,5,满意,是,大厅环境不错，服务人员专业
华南,18-30岁,线上平台,8.2,,4,3,4,满意,是,建议多开几个窗口，减少排队时间
华中,31-45岁,线上平台,85.2,5,4,2,3,不满意,是,大厅环境不错，服务人员专业
华南,46-60岁,线上平台,20.9,2,5,5,4,满意,是,工作人员态度友善
华南,18-30岁,线上平台,10.3,5,5,4,4,满意,是,
西北,18-30岁,线上平台,23.0,4,3,4,5,满意,是,
华中,60岁以上,电话热线,40.0,4,3,5,5,满意,是,
西北,31-45岁,线上平台,50.8,2,4,4,3,不满意,否,
西北,31-45岁,线上平台,3.9,5,3,5,3,不满意,是,服务流程简化后体验明显提升
华中,60岁以上,社区服务点,10.5,3,4,4,3,不满意,是,
华东,60岁以上,社区服务点,4.7,4,5,2,4,满意,否,
西北,31-45岁,线上平台,9.1,5,2,3,3,不满意,是,总体满意，线上平台很方便
西南,60岁以上,政务大厅,5.8,2,2,4,3,不满意,是,
西南,18-30岁,自助终端,18.6,4,3,4,4,满意,是,自助终端操作复杂，老年人不太会用
华南,31-45岁,线上平台,10.4,3,4,2,3,不满意,是,
西南,46-60岁,电话热线,,4,4,2,3,不满意,是,
华南,46-60岁,社区服务点,7.6,4,2,3,3,不满意,否,政策解释不够清楚，需要反复询问
华东,60岁以上,线上平台,9.7,4,5,3,4,满意,是,政策透明度需要提高
华中,31-45岁,线上平台,7.5,4,5,4,4,满意,是,
华中,60岁以上,电话热线,12.1,4,1,3,2,不满意,是,
华中,60岁以上,政务大厅,3.5,4,4,4,4,满意,否,
西南,60岁以上,政务大厅,7.9,5,5,4,5,满意,是,
华东,46-60岁,自助终端,10.9,4,3,4,5,满意,否,整体体验良好
西南,46-60岁,自助终端,16.8,4,2,5,4,满意,否,
